AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|0.3|0.4|0.3|194|Mortality|59955368|Acute Lymphocytic|1999
0-19|0.3|0.4|0.4|285|Mortality|80039970|Acute Lymphocytic|1999
0-14|3.4|3.7|3.5|2060|Incidence|58588724|Acute Lymphocytic|1999
0-19|2.9|3.1|3.0|2325|Incidence|78174581|Acute Lymphocytic|1999
0-14|0.2|0.3|0.2|141|Mortality|59955368|Acute Myeloid|1999
0-19|0.2|0.3|0.3|207|Mortality|80039970|Acute Myeloid|1999
0-14|0.6|0.8|0.7|399|Incidence|58588724|Acute Myeloid|1999
0-19|0.7|0.8|0.7|569|Incidence|78174581|Acute Myeloid|1999
0-14|2.4|2.6|2.5|1498|Mortality|59955368|All Cancer Sites Combined|1999
0-19|2.7|2.9|2.8|2243|Mortality|80039970|All Cancer Sites Combined|1999
0-14|14.2|14.9|14.5|8503|Incidence|58588724|All Cancer Sites Combined|1999
0-19|15.6|16.1|15.9|12374|Incidence|78174581|All Cancer Sites Combined|1999
0-14|0.1|0.2|0.1|82|Mortality|59955368|Bones and Joints|1999
0-19|0.2|0.3|0.3|209|Mortality|80039970|Bones and Joints|1999
0-14|0.7|0.8|0.7|433|Incidence|58588724|Bones and Joints|1999
0-19|0.8|1.0|0.9|708|Incidence|78174581|Bones and Joints|1999
0-14|0.7|0.8|0.7|431|Mortality|59955368|Brain and Other Nervous System|1999
0-19|0.6|0.7|0.7|546|Mortality|80039970|Brain and Other Nervous System|1999
0-14|3.1|3.4|3.3|1912|Incidence|58588724|Brain and Other Nervous System|1999
0-19|2.8|3.1|3.0|2311|Incidence|78174581|Brain and Other Nervous System|1999
0-14|~|~|~|~|Mortality|59955368|Hodgkin Lymphoma|1999
0-19|0.0|0.1|0.1|41|Mortality|80039970|Hodgkin Lymphoma|1999
0-14|0.5|0.6|0.5|320|Incidence|58588724|Hodgkin Lymphoma|1999
0-19|1.1|1.3|1.2|925|Incidence|78174581|Hodgkin Lymphoma|1999
0-14|0.1|0.1|0.1|54|Mortality|59955368|Kidney and Renal Pelvis|1999
0-19|0.1|0.1|0.1|62|Mortality|80039970|Kidney and Renal Pelvis|1999
0-14|0.8|0.9|0.8|486|Incidence|58588724|Kidney and Renal Pelvis|1999
0-19|0.6|0.7|0.7|515|Incidence|78174581|Kidney and Renal Pelvis|1999
0-14|0.7|0.8|0.8|451|Mortality|59955368|Leukemia|1999
0-19|0.8|0.9|0.8|672|Mortality|80039970|Leukemia|1999
0-14|4.4|4.7|4.5|2646|Incidence|58588724|Leukemia|1999
0-19|3.9|4.2|4.1|3168|Incidence|78174581|Leukemia|1999
0-14|0.1|0.1|0.1|55|Mortality|59955368|Non-Hodgkin Lymphoma|1999
0-19|0.1|0.2|0.1|106|Mortality|80039970|Non-Hodgkin Lymphoma|1999
0-14|0.8|1.0|0.9|521|Incidence|58588724|Non-Hodgkin Lymphoma|1999
0-19|1.0|1.1|1.1|827|Incidence|78174581|Non-Hodgkin Lymphoma|1999
0-14|0.5|0.6|0.5|328|Mortality|59955368|Other|1999
0-19|0.5|0.6|0.6|455|Mortality|80039970|Other|1999
0-14|2.8|3.1|2.9|1694|Incidence|58588724|Other|1999
0-19|4.0|4.3|4.2|3233|Incidence|78174581|Other|1999
0-14|0.1|0.2|0.1|87|Mortality|59955368|Soft Tissue|1999
0-19|0.2|0.2|0.2|152|Mortality|80039970|Soft Tissue|1999
0-14|0.8|0.9|0.8|491|Incidence|58588724|Soft Tissue|1999
0-19|0.8|0.9|0.9|687|Incidence|78174581|Soft Tissue|1999
0-14|0.3|0.4|0.4|234|Mortality|60279841|Acute Lymphocytic|2000
0-19|0.4|0.5|0.4|332|Mortality|80574796|Acute Lymphocytic|2000
0-14|3.5|3.8|3.7|2146|Incidence|58914904|Acute Lymphocytic|2000
0-19|3.0|3.3|3.1|2466|Incidence|78714159|Acute Lymphocytic|2000
0-14|0.2|0.3|0.2|145|Mortality|60279841|Acute Myeloid|2000
0-19|0.2|0.3|0.3|222|Mortality|80574796|Acute Myeloid|2000
0-14|0.5|0.7|0.6|349|Incidence|58914904|Acute Myeloid|2000
0-19|0.6|0.7|0.7|516|Incidence|78714159|Acute Myeloid|2000
0-14|2.4|2.7|2.5|1526|Mortality|60279841|All Cancer Sites Combined|2000
0-19|2.7|2.9|2.8|2271|Mortality|80574796|All Cancer Sites Combined|2000
