AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
1-4|2.5|3.0|2.7|418|Mortality|15339782|All Cancer Sites Combined|1999
10-14|2.3|2.7|2.5|503|Mortality|20213364|All Cancer Sites Combined|1999
15-19|3.4|4.0|3.7|745|Mortality|20084602|All Cancer Sites Combined|1999
5-9|2.3|2.7|2.5|509|Mortality|20606460|All Cancer Sites Combined|1999
<1|1.4|2.3|1.8|68|Mortality|3795762|All Cancer Sites Combined|1999
1-4|19.0|20.5|19.7|2959|Incidence|14991152|All Cancer Sites Combined|1999
10-14|11.9|12.9|12.4|2449|Incidence|19742631|All Cancer Sites Combined|1999
15-19|19.1|20.4|19.8|3871|Incidence|19585857|All Cancer Sites Combined|1999
5-9|10.6|11.5|11.1|2227|Incidence|20146188|All Cancer Sites Combined|1999
<1|21.9|25.0|23.4|868|Incidence|3708753|All Cancer Sites Combined|1999
1-4|0.6|0.9|0.7|113|Mortality|15339782|Brain and Other Nervous System|1999
10-14|0.5|0.7|0.6|124|Mortality|20213364|Brain and Other Nervous System|1999
15-19|0.5|0.7|0.6|115|Mortality|20084602|Brain and Other Nervous System|1999
5-9|0.8|1.0|0.9|184|Mortality|20606460|Brain and Other Nervous System|1999
<1|~|~|~|~|Mortality|3795762|Brain and Other Nervous System|1999
1-4|3.6|4.3|3.9|590|Incidence|14991152|Brain and Other Nervous System|1999
10-14|2.4|2.9|2.7|524|Incidence|19742631|Brain and Other Nervous System|1999
15-19|1.8|2.2|2.0|399|Incidence|19585857|Brain and Other Nervous System|1999
5-9|3.1|3.6|3.3|667|Incidence|20146188|Brain and Other Nervous System|1999
<1|3.0|4.2|3.5|131|Incidence|3708753|Brain and Other Nervous System|1999
1-4|~|~|~|~|Mortality|7493614|Cervix|1999
10-14|~|~|~|~|Mortality|9855664|Cervix|1999
15-19|~|~|~|~|Mortality|9761569|Cervix|1999
5-9|~|~|~|~|Mortality|10052618|Cervix|1999
<1|~|~|~|~|Mortality|1852123|Cervix|1999
1-4|~|~|~|~|Incidence|7323088|Cervix|1999
10-14|~|~|~|~|Incidence|9626112|Cervix|1999
15-19|0.2|0.4|0.3|27|Incidence|9518101|Cervix|1999
5-9|~|~|~|~|Incidence|9827638|Cervix|1999
<1|~|~|~|~|Incidence|1809670|Cervix|1999
1-4|~|~|~|~|Mortality|15339782|Colon and Rectum|1999
10-14|~|~|~|~|Mortality|20213364|Colon and Rectum|1999
15-19|~|~|~|~|Mortality|20084602|Colon and Rectum|1999
5-9|~|~|~|~|Mortality|20606460|Colon and Rectum|1999
<1|~|~|~|~|Mortality|3795762|Colon and Rectum|1999
1-4|~|~|~|~|Incidence|14991152|Colon and Rectum|1999
10-14|~|~|~|~|Incidence|19742631|Colon and Rectum|1999
15-19|0.2|0.3|0.3|50|Incidence|19585857|Colon and Rectum|1999
5-9|~|~|~|~|Incidence|20146188|Colon and Rectum|1999
<1|~|~|~|~|Incidence|3708753|Colon and Rectum|1999
1-4|~|~|~|~|Mortality|7493614|Corpus and Uterus, NOS|1999
10-14|~|~|~|~|Mortality|9855664|Corpus and Uterus, NOS|1999
15-19|~|~|~|~|Mortality|9761569|Corpus and Uterus, NOS|1999
5-9|~|~|~|~|Mortality|10052618|Corpus and Uterus, NOS|1999
<1|~|~|~|~|Mortality|1852123|Corpus and Uterus, NOS|1999
1-4|~|~|~|~|Incidence|7323088|Corpus and Uterus, NOS|1999
10-14|~|~|~|~|Incidence|9626112|Corpus and Uterus, NOS|1999
15-19|~|~|~|~|Incidence|9518101|Corpus and Uterus, NOS|1999
5-9|~|~|~|~|Incidence|9827638|Corpus and Uterus, NOS|1999
<1|~|~|~|~|Incidence|1809670|Corpus and Uterus, NOS|1999
1-4|~|~|~|~|Mortality|15339782|Esophagus|1999
10-14|~|~|~|~|Mortality|20213364|Esophagus|1999
15-19|~|~|~|~|Mortality|20084602|Esophagus|1999
