AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Benign/Borderline|~|39865121|Female|All other|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|All other|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|All other|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|All other|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|All other|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|All other|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|All other|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|All other|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|All other|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|All other|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|All other|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|All other|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40632786|Female|All other|2010|~|~|~
0-19|~|~|~|Malignant|~|40632786|Female|All other|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40460864|Female|All other|2011|~|~|~
0-19|~|~|~|Malignant|~|40460864|Female|All other|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40307649|Female|All other|2012|~|~|~
0-19|~|~|~|Malignant|~|40307649|Female|All other|2012|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|17|201002181|Female|All other|2012-2016|0.0|0.0|0.0
0-19|0.0|0.0|0.0|Malignant|32|201002181|Female|All other|2012-2016|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|40212686|Female|All other|2013|~|~|~
0-19|~|~|~|Malignant|~|40212686|Female|All other|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40155513|Female|All other|2014|~|~|~
0-19|~|~|~|Malignant|~|40155513|Female|All other|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|40153090|Female|All other|2015|~|~|~
0-19|~|~|~|Malignant|~|40153090|Female|All other|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|40173243|Female|All other|2016|~|~|~
0-19|~|~|~|Malignant|~|40173243|Female|All other|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Anaplastic astrocytoma|2004|~|~|~
0-19|0.1|0.1|0.1|Malignant|44|39865121|Female|Anaplastic astrocytoma|2004|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Anaplastic astrocytoma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|25|39998876|Female|Anaplastic astrocytoma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Anaplastic astrocytoma|2006|~|~|~
0-19|0.1|0.1|0.1|Malignant|31|40165421|Female|Anaplastic astrocytoma|2006|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Anaplastic astrocytoma|2007|~|~|~
0-19|0.1|0.1|0.1|Malignant|31|40382360|Female|Anaplastic astrocytoma|2007|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Anaplastic astrocytoma|2008|~|~|~
0-19|0.1|0.1|0.1|Malignant|32|40576293|Female|Anaplastic astrocytoma|2008|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Anaplastic astrocytoma|2009|~|~|~
0-19|0.1|0.1|0.1|Malignant|30|40670476|Female|Anaplastic astrocytoma|2009|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40632786|Female|Anaplastic astrocytoma|2010|~|~|~
0-19|0.1|0.1|0.1|Malignant|40|40632786|Female|Anaplastic astrocytoma|2010|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40460864|Female|Anaplastic astrocytoma|2011|~|~|~
0-19|0.1|0.1|0.1|Malignant|39|40460864|Female|Anaplastic astrocytoma|2011|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40307649|Female|Anaplastic astrocytoma|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|40307649|Female|Anaplastic astrocytoma|2012|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|201002181|Female|Anaplastic astrocytoma|2012-2016|~|~|~
0-19|0.1|0.1|0.1|Malignant|177|201002181|Female|Anaplastic astrocytoma|2012-2016|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40212686|Female|Anaplastic astrocytoma|2013|~|~|~
0-19|0.1|0.2|0.1|Malignant|50|40212686|Female|Anaplastic astrocytoma|2013|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|40155513|Female|Anaplastic astrocytoma|2014|~|~|~
0-19|0.1|0.1|0.1|Malignant|40|40155513|Female|Anaplastic astrocytoma|2014|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40153090|Female|Anaplastic astrocytoma|2015|~|~|~
0-19|0.1|0.1|0.1|Malignant|33|40153090|Female|Anaplastic astrocytoma|2015|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40173243|Female|Anaplastic astrocytoma|2016|~|~|~
0-19|0.1|0.1|0.1|Malignant|30|40173243|Female|Anaplastic astrocytoma|2016|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Anaplastic oligodendroglioma|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Anaplastic oligodendroglioma|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Anaplastic oligodendroglioma|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|Anaplastic oligodendroglioma|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Anaplastic oligodendroglioma|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Anaplastic oligodendroglioma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Anaplastic oligodendroglioma|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|Anaplastic oligodendroglioma|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Anaplastic oligodendroglioma|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|Anaplastic oligodendroglioma|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Anaplastic oligodendroglioma|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|Anaplastic oligodendroglioma|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40632786|Female|Anaplastic oligodendroglioma|2010|~|~|~
0-19|~|~|~|Malignant|~|40632786|Female|Anaplastic oligodendroglioma|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40460864|Female|Anaplastic oligodendroglioma|2011|~|~|~
